iso3_a,iso3_b,prox1
BIH,UKR,0.5
BIH,URY,0.25
BIH,USA,0.25
BIH,UZB,0.07999999821186066
BIH,VEN,0.25
BIH,ZAF,0.0
BLR,BLR,1.0
BLR,BOL,0.13500000536441803
BLR,BRA,0.25
BLR,CAN,0.25
BLR,CHE,0.25
BLR,CHL,0.25
BLR,CHN,0.0
BLR,COL,0.25
BLR,CYP,0.19750000536441803
BLR,CZE,0.5
BLR,DEU,0.25
BLR,DNK,0.25
BLR,DOM,0.25
BLR,ECU,0.25
BLR,ESP,0.25
BLR,FIN,0.0
BLR,FRA,0.25
BLR,GBR,0.25
BLR,GEO,0.0
BLR,GRC,0.25
BLR,HRV,0.5
BLR,HUN,0.0
BLR,IDN,0.0
BLR,IND,0.0
BLR,ISR,0.12999999523162842
BLR,ITA,0.25
BLR,JAM,0.25
BLR,JPN,0.0
BLR,KAZ,0.4099999964237213
BLR,KOR,0.0
BLR,LBN,0.0
BLR,LTU,0.25
BLR,MAR,0.0
BLR,MCO,0.25
BLR,MDA,0.25
BLR,MEX,0.25
BLR,NLD,0.25
BLR,NOR,0.25
BLR,NZL,0.25
BLR,PAK,0.25
BLR,PER,0.25
BLR,PHL,0.0
BLR,POL,0.5
BLR,PRT,0.25
BLR,ROU,0.25
BLR,RUS,1.0
BLR,SLV,0.25
BLR,SRB,0.5
BLR,SVK,0.5
BLR,SVN,0.5
BLR,SWE,0.25
BLR,THA,0.0
BLR,TUN,0.0
BLR,TWN,0.0
BLR,UKR,0.824999988079071
BLR,URY,0.25
BLR,USA,0.25
BLR,UZB,0.1599999964237213
BLR,VEN,0.25
BLR,ZAF,0.0
BOL,BOL,1.0
BOL,BRA,0.4050000309944153
BOL,CAN,0.17550000548362732
BOL,CHE,0.17010000348091125
BOL,CHL,0.5400000214576721
BOL,CHN,0.0
BOL,COL,0.5400000214576721
BOL,CYP,0.10665000975131989
BOL,CZE,0.13500000536441803
BOL,DEU,0.13500000536441803
BOL,DNK,0.13500000536441803
BOL,DOM,0.5400000214576721
BOL,ECU,0.5400000214576721
BOL,ESP,0.5400000214576721
BOL,FIN,0.0
BOL,FRA,0.27000001072883606
BOL,GBR,0.13500000536441803
BOL,GEO,0.0
BOL,GRC,0.13500000536441803
BOL,HRV,0.13500000536441803
BOL,HUN,0.0
BOL,IDN,0.0
BOL,IND,0.0
BOL,ISR,0.017550000920891762
BOL,ITA,0.27000001072883606
BOL,JAM,0.13500000536441803
BOL,JPN,0.0
BOL,KAZ,0.05535000190138817
BOL,KOR,0.0
BOL,LBN,0.0
BOL,LTU,0.13500000536441803
BOL,MAR,0.0
BOL,MCO,0.27000001072883606
BOL,MDA,0.27000001072883606
BOL,MEX,0.5400000214576721
BOL,NLD,0.13500000536441803
BOL,NOR,0.13500000536441803
BOL,NZL,0.13500000536441803
BOL,PAK,0.13500000536441803
BOL,PER,0.5400000214576721
BOL,PHL,0.0
BOL,POL,0.13500000536441803
BOL,PRT,0.4050000309944153
BOL,ROU,0.27000001072883606
BOL,RUS,0.13500000536441803
BOL,SLV,0.5400000214576721
BOL,SRB,0.13500000536441803
BOL,SVK,0.13500000536441803
BOL,SVN,0.13500000536441803
BOL,SWE,0.13500000536441803
BOL,THA,0.0
BOL,TUN,0.0
BOL,TWN,0.0
BOL,UKR,0.13500000536441803
BOL,URY,0.5400000214576721
BOL,USA,0.19575001299381256
BOL,UZB,0.02160000056028366
BOL,VEN,0.5400000214576721
BOL,ZAF,0.0
BRA,BRA,1.0
BRA,CAN,0.32499998807907104
BRA,CHE,0.3149999976158142
BRA,CHL,0.75
BRA,CHN,0.0
BRA,COL,0.75
BRA,CYP,0.19750000536441803
BRA,CZE,0.25
BRA,DEU,0.25
BRA,DNK,0.25
BRA,DOM,0.75
BRA,ECU,0.75
BRA,ESP,0.75
BRA,FIN,0.0
BRA,FRA,0.5
BRA,GBR,0.25
BRA,GEO,0.0
BRA,GRC,0.25
BRA,HRV,0.25
BRA,HUN,0.0
BRA,IDN,0.0
BRA,IND,0.0
BRA,ISR,0.032499998807907104
BRA,ITA,0.5
BRA,JAM,0.25
BRA,JPN,0.0
BRA,KAZ,0.10249999910593033
BRA,KOR,0.0
BRA,LBN,0.0
BRA,LTU,0.25
BRA,MAR,0.0
BRA,MCO,0.5
BRA,MDA,0.5
BRA,MEX,0.75
BRA,NLD,0.25
BRA,NOR,0.25
BRA,NZL,0.25
BRA,PAK,0.25
BRA,PER,0.75
BRA,PHL,0.0
BRA,POL,0.25
BRA,PRT,1.0
BRA,ROU,0.5
BRA,RUS,0.25
BRA,SLV,0.75
BRA,SRB,0.25
BRA,SVK,0.25
BRA,SVN,0.25
BRA,SWE,0.25
BRA,THA,0.0
BRA,TUN,0.0
BRA,TWN,0.0
BRA,UKR,0.25
BRA,URY,0.75
BRA,USA,0.32500001788139343
BRA,UZB,0.03999999910593033
BRA,VEN,0.75
BRA,ZAF,0.0
CAN,CAN,1.0
CAN,CHE,0.43800002336502075
CAN,CHL,0.32499998807907104
CAN,CHN,0.0
CAN,COL,0.32499998807907104
CAN,CYP,0.19750002026557922
CAN,CZE,0.25
CAN,DEU,0.42500001192092896
CAN,DNK,0.42500001192092896
CAN,DOM,0.32499998807907104
CAN,ECU,0.32499998807907104
CAN,ESP,0.32499998807907104
CAN,FIN,0.0
CAN,FRA,0.4750000238418579
CAN,GBR,0.7749999761581421
CAN,GEO,0.0
CAN,GRC,0.25
CAN,HRV,0.25
CAN,HUN,0.0
CAN,IDN,0.0
CAN,IND,0.0
CAN,ISR,0.032499998807907104
CAN,ITA,0.32499998807907104
CAN,JAM,0.7749999761581421
CAN,JPN,0.0
CAN,KAZ,0.10249999910593033
CAN,KOR,0.0
CAN,LBN,0.0
CAN,LTU,0.25
CAN,MAR,0.0
CAN,MCO,1.0
CAN,MDA,0.32499998807907104
CAN,MEX,0.32499998807907104
CAN,NLD,0.42500001192092896
CAN,NOR,0.42500001192092896
CAN,NZL,0.7749999761581421
CAN,PAK,0.42500001192092896
CAN,PER,0.32499998807907104
CAN,PHL,0.0
CAN,POL,0.25
CAN,PRT,0.32499998807907104
CAN,ROU,0.32499998807907104
CAN,RUS,0.25
CAN,SLV,0.32499998807907104
CAN,SRB,0.25
CAN,SVK,0.25
CAN,SVN,0.25
CAN,SWE,0.42500001192092896
CAN,THA,0.0
CAN,TUN,0.0
CAN,TWN,0.0
CAN,UKR,0.25
CAN,URY,0.32499998807907104
CAN,USA,0.7075000405311584
CAN,UZB,0.03999999910593033
CAN,VEN,0.32499998807907104
CAN,ZAF,0.0
CHE,CHE,1.0
CHE,CHL,0.3149999976158142
CHE,CHN,0.0
CHE,COL,0.3149999976158142
CHE,CYP,0.19750000536441803
CHE,CZE,0.25
CHE,DEU,0.8050000071525574
CHE,DNK,0.4350000023841858
CHE,DOM,0.3149999976158142
CHE,ECU,0.3149999976158142
CHE,ESP,0.3149999976158142
CHE,FIN,0.0
CHE,FRA,0.4449999928474426
CHE,GBR,0.4350000023841858
CHE,GEO,0.0
CHE,GRC,0.25
CHE,HRV,0.25
CHE,HUN,0.0
CHE,IDN,0.0
CHE,IND,0.0
CHE,ISR,0.032499998807907104
CHE,ITA,0.3149999976158142
CHE,JAM,0.4350000023841858
CHE,JPN,0.0
CHE,KAZ,0.10249999910593033
CHE,KOR,0.0
CHE,LBN,0.0
CHE,LTU,0.25
CHE,MAR,0.0
CHE,MCO,1.0
CHE,MDA,0.3149999976158142
CHE,MEX,0.3149999976158142
CHE,NLD,0.6200000047683716
CHE,NOR,0.4350000023841858
CHE,NZL,0.4350000023841858
CHE,PAK,0.25
CHE,PER,0.3149999976158142
CHE,PHL,0.0
CHE,POL,0.25
CHE,PRT,0.3149999976158142
CHE,ROU,0.3149999976158142
CHE,RUS,0.25
CHE,SLV,0.3149999976158142
CHE,SRB,0.25
CHE,SVK,0.25
CHE,SVN,0.25
CHE,SWE,0.4350000023841858
CHE,THA,0.0
CHE,TUN,0.0
CHE,TWN,0.0
CHE,UKR,0.25
CHE,URY,0.3149999976158142
CHE,USA,0.4169999957084656
CHE,UZB,0.03999999910593033
CHE,VEN,0.3149999976158142
CHE,ZAF,0.0
CHL,CHL,1.0
CHL,CHN,0.0
CHL,COL,1.0
CHL,CYP,0.19750000536441803
CHL,CZE,0.25
CHL,DEU,0.25
CHL,DNK,0.25
CHL,DOM,1.0
CHL,ECU,1.0
CHL,ESP,1.0
CHL,FIN,0.0
CHL,FRA,0.5
CHL,GBR,0.25
CHL,GEO,0.0
CHL,GRC,0.25
CHL,HRV,0.25
CHL,HUN,0.0
CHL,IDN,0.0
CHL,IND,0.0
CHL,ISR,0.032499998807907104
CHL,ITA,0.5
CHL,JAM,0.25
CHL,JPN,0.0
CHL,KAZ,0.10249999910593033
CHL,KOR,0.0
CHL,LBN,0.0
CHL,LTU,0.25
CHL,MAR,0.0
CHL,MCO,0.5
CHL,MDA,0.5
CHL,MEX,1.0
CHL,NLD,0.25
CHL,NOR,0.25
CHL,NZL,0.25
CHL,PAK,0.25
CHL,PER,1.0
CHL,PHL,0.0
CHL,POL,0.25
CHL,PRT,0.75
CHL,ROU,0.5
CHL,RUS,0.25
CHL,SLV,1.0
CHL,SRB,0.25
CHL,SVK,0.25
CHL,SVN,0.25
CHL,SWE,0.25
CHL,THA,0.0
CHL,TUN,0.0
CHL,TWN,0.0
CHL,UKR,0.25
CHL,URY,1.0
CHL,USA,0.36250001192092896
CHL,UZB,0.03999999910593033
CHL,VEN,1.0
CHL,ZAF,0.0
CHN,CHN,1.0
CHN,COL,0.0
CHN,CYP,0.0
CHN,CZE,0.0
CHN,DEU,0.0
CHN,DNK,0.0
CHN,DOM,0.0
CHN,ECU,0.0
CHN,ESP,0.0
CHN,FIN,0.0
CHN,FRA,0.0
CHN,GBR,0.0
CHN,GEO,0.0
CHN,GRC,0.0
CHN,HRV,0.0
CHN,HUN,0.0
CHN,IDN,0.0
CHN,IND,0.0
CHN,ISR,0.0
CHN,ITA,0.0
CHN,JAM,0.0
CHN,JPN,0.0
CHN,KAZ,0.0
CHN,KOR,0.0
CHN,LBN,0.0
CHN,LTU,0.0
CHN,MAR,0.0
CHN,MCO,0.0
CHN,MDA,0.0
CHN,MEX,0.0
CHN,NLD,0.0
CHN,NOR,0.0
CHN,NZL,0.0
CHN,PAK,0.0
CHN,PER,0.0
CHN,PHL,0.0
CHN,POL,0.0
CHN,PRT,0.0
CHN,ROU,0.0
CHN,RUS,0.0
CHN,SLV,0.0
CHN,SRB,0.0
CHN,SVK,0.0
CHN,SVN,0.0
CHN,SWE,0.0
CHN,THA,0.0
CHN,TUN,0.0
CHN,TWN,1.0
CHN,UKR,0.0
CHN,URY,0.0
CHN,USA,0.0
CHN,UZB,0.0
CHN,VEN,0.0
CHN,ZAF,0.0
COL,COL,1.0
COL,CYP,0.19750000536441803
COL,CZE,0.25
COL,DEU,0.25
COL,DNK,0.25
COL,DOM,1.0
COL,ECU,1.0
COL,ESP,1.0
COL,FIN,0.0
COL,FRA,0.5
COL,GBR,0.25
COL,GEO,0.0
COL,GRC,0.25
COL,HRV,0.25
COL,HUN,0.0
COL,IDN,0.0
COL,IND,0.0
COL,ISR,0.032499998807907104
COL,ITA,0.5
COL,JAM,0.25
COL,JPN,0.0
COL,KAZ,0.10249999910593033
COL,KOR,0.0
COL,LBN,0.0
COL,LTU,0.25
COL,MAR,0.0
COL,MCO,0.5
COL,MDA,0.5
COL,MEX,1.0
COL,NLD,0.25
COL,NOR,0.25
COL,NZL,0.25
COL,PAK,0.25
COL,PER,1.0
COL,PHL,0.0
COL,POL,0.25
COL,PRT,0.75
COL,ROU,0.5
COL,RUS,0.25
COL,SLV,1.0
COL,SRB,0.25
COL,SVK,0.25
COL,SVN,0.25
COL,SWE,0.25
COL,THA,0.0
COL,TUN,0.0
COL,TWN,0.0
COL,UKR,0.25
COL,URY,1.0
COL,USA,0.36250001192092896
COL,UZB,0.03999999910593033
COL,VEN,1.0
COL,ZAF,0.0
CYP,CYP,1.0
CYP,CZE,0.19750000536441803
CYP,DEU,0.19750000536441803
CYP,DNK,0.19750000536441803
CYP,DOM,0.19750000536441803
CYP,ECU,0.19750000536441803
CYP,ESP,0.19750000536441803
CYP,FIN,0.0
CYP,FRA,0.19750000536441803
CYP,GBR,0.19750000536441803
CYP,GEO,0.0
CYP,GRC,0.7900000214576721
CYP,HRV,0.19750000536441803
CYP,HUN,0.0
CYP,IDN,0.0
CYP,IND,0.0
CYP,ISR,0.025675000622868538
CYP,ITA,0.19750000536441803
CYP,JAM,0.19750000536441803
CYP,JPN,0.0
CYP,KAZ,0.14292499423027039
CYP,KOR,0.0
CYP,LBN,0.0
CYP,LTU,0.19750000536441803
CYP,MAR,0.0
CYP,MCO,0.19750000536441803
CYP,MDA,0.19750000536441803
CYP,MEX,0.19750000536441803
CYP,NLD,0.19750000536441803
CYP,NOR,0.19750000536441803
CYP,NZL,0.19750000536441803
CYP,PAK,0.19750000536441803
CYP,PER,0.19750000536441803
CYP,PHL,0.0
CYP,POL,0.19750000536441803
CYP,PRT,0.19750000536441803
CYP,ROU,0.19750000536441803
CYP,RUS,0.19750000536441803
CYP,SLV,0.19750000536441803
CYP,SRB,0.19750000536441803
CYP,SVK,0.19750000536441803
CYP,SVN,0.19750000536441803
CYP,SWE,0.19750000536441803
CYP,THA,0.0
CYP,TUN,0.0
CYP,TWN,0.0
CYP,UKR,0.19750002026557922
CYP,URY,0.19750000536441803
CYP,USA,0.19750000536441803
CYP,UZB,0.11979999393224716
CYP,VEN,0.19750000536441803
CYP,ZAF,0.0
CZE,CZE,1.0
CZE,DEU,0.25
CZE,DNK,0.25
CZE,DOM,0.25
CZE,ECU,0.25
CZE,ESP,0.25
CZE,FIN,0.0
CZE,FRA,0.25
CZE,GBR,0.25
CZE,GEO,0.0
CZE,GRC,0.25
CZE,HRV,0.5
CZE,HUN,0.0
CZE,IDN,0.0
CZE,IND,0.0
CZE,ISR,0.06499999761581421
CZE,ITA,0.25
CZE,JAM,0.25
CZE,JPN,0.0
CZE,KAZ,0.20499999821186066
CZE,KOR,0.0
CZE,LBN,0.0
CZE,LTU,0.25
CZE,MAR,0.0
CZE,MCO,0.25
CZE,MDA,0.25
CZE,MEX,0.25
CZE,NLD,0.25
CZE,NOR,0.25
CZE,NZL,0.25
CZE,PAK,0.25
CZE,PER,0.25
CZE,PHL,0.0
CZE,POL,0.5
CZE,PRT,0.25
CZE,ROU,0.25
CZE,RUS,0.5
CZE,SLV,0.25
CZE,SRB,0.5
CZE,SVK,0.75
CZE,SVN,0.75
CZE,SWE,0.25
CZE,THA,0.0
CZE,TUN,0.0
CZE,TWN,0.0
CZE,UKR,0.5
CZE,URY,0.25
CZE,USA,0.25
CZE,UZB,0.07999999821186066
CZE,VEN,0.25
CZE,ZAF,0.0
DEU,DEU,1.0
DEU,DNK,0.5
DEU,DOM,0.25
DEU,ECU,0.25
DEU,ESP,0.25
DEU,FIN,0.0
DEU,FRA,0.25
DEU,GBR,0.5
DEU,GEO,0.0
DEU,GRC,0.25
DEU,HRV,0.25
DEU,HUN,0.0
DEU,IDN,0.0
DEU,IND,0.0
DEU,ISR,0.032499998807907104
DEU,ITA,0.25
DEU,JAM,0.5
DEU,JPN,0.0
DEU,KAZ,0.10249999910593033
DEU,KOR,0.0
DEU,LBN,0.0
DEU,LTU,0.25
DEU,MAR,0.0
DEU,MCO,0.25
DEU,MDA,0.25
DEU,MEX,0.25
DEU,NLD,0.75
DEU,NOR,0.5
DEU,NZL,0.5
DEU,PAK,0.25
DEU,PER,0.25
DEU,PHL,0.0
DEU,POL,0.25
DEU,PRT,0.25
DEU,ROU,0.25
DEU,RUS,0.25
DEU,SLV,0.25
DEU,SRB,0.25
DEU,SVK,0.25
DEU,SVN,0.25
DEU,SWE,0.5
DEU,THA,0.0
DEU,TUN,0.0
DEU,TWN,0.0
DEU,UKR,0.25
DEU,URY,0.25
DEU,USA,0.4625000059604645
DEU,UZB,0.03999999910593033
DEU,VEN,0.25
DEU,ZAF,0.0
DNK,DNK,1.0
DNK,DOM,0.25
DNK,ECU,0.25
DNK,ESP,0.25
DNK,FIN,0.0
DNK,FRA,0.25
DNK,GBR,0.5
DNK,GEO,0.0
DNK,GRC,0.25
DNK,HRV,0.25
DNK,HUN,0.0
DNK,IDN,0.0
DNK,IND,0.0
DNK,ISR,0.032499998807907104
DNK,ITA,0.25
DNK,JAM,0.5
DNK,JPN,0.0
DNK,KAZ,0.10249999910593033
DNK,KOR,0.0
DNK,LBN,0.0
DNK,LTU,0.25
DNK,MAR,0.0
DNK,MCO,0.25
DNK,MDA,0.25
DNK,MEX,0.25
DNK,NLD,0.5
DNK,NOR,0.75
DNK,NZL,0.5
DNK,PAK,0.25
DNK,PER,0.25
DNK,PHL,0.0
DNK,POL,0.25
DNK,PRT,0.25
DNK,ROU,0.25
DNK,RUS,0.25
DNK,SLV,0.25
DNK,SRB,0.25
DNK,SVK,0.25
DNK,SVN,0.25
DNK,SWE,0.75
DNK,THA,0.0
DNK,TUN,0.0
DNK,TWN,0.0
DNK,UKR,0.25
DNK,URY,0.25
DNK,USA,0.4625000059604645
DNK,UZB,0.03999999910593033
DNK,VEN,0.25
DNK,ZAF,0.0
DOM,DOM,1.0
DOM,ECU,1.0
DOM,ESP,1.0
DOM,FIN,0.0
DOM,FRA,0.5
DOM,GBR,0.25
DOM,GEO,0.0
DOM,GRC,0.25
DOM,HRV,0.25
DOM,HUN,0.0
DOM,IDN,0.0
DOM,IND,0.0
DOM,ISR,0.032499998807907104
DOM,ITA,0.5
DOM,JAM,0.25
DOM,JPN,0.0
DOM,KAZ,0.10249999910593033
DOM,KOR,0.0
DOM,LBN,0.0
DOM,LTU,0.25
DOM,MAR,0.0
DOM,MCO,0.5
DOM,MDA,0.5
DOM,MEX,1.0
DOM,NLD,0.25
DOM,NOR,0.25
DOM,NZL,0.25
DOM,PAK,0.25
DOM,PER,1.0
DOM,PHL,0.0
DOM,POL,0.25
DOM,PRT,0.75
DOM,ROU,0.5
DOM,RUS,0.25
DOM,SLV,1.0
DOM,SRB,0.25
DOM,SVK,0.25
DOM,SVN,0.25
DOM,SWE,0.25
DOM,THA,0.0
DOM,TUN,0.0
DOM,TWN,0.0
DOM,UKR,0.25
DOM,URY,1.0
DOM,USA,0.36250001192092896
DOM,UZB,0.03999999910593033
DOM,VEN,1.0
DOM,ZAF,0.0
ECU,ECU,1.0
ECU,ESP,1.0
ECU,FIN,0.0
ECU,FRA,0.5
ECU,GBR,0.25
ECU,GEO,0.0
ECU,GRC,0.25
ECU,HRV,0.25
ECU,HUN,0.0
ECU,IDN,0.0
ECU,IND,0.0
ECU,ISR,0.032499998807907104
ECU,ITA,0.5
ECU,JAM,0.25
ECU,JPN,0.0
ECU,KAZ,0.10249999910593033
ECU,KOR,0.0
ECU,LBN,0.0
ECU,LTU,0.25
ECU,MAR,0.0
ECU,MCO,0.5
ECU,MDA,0.5
ECU,MEX,1.0
ECU,NLD,0.25
ECU,NOR,0.25
ECU,NZL,0.25
ECU,PAK,0.25
ECU,PER,1.0
ECU,PHL,0.0
ECU,POL,0.25
ECU,PRT,0.75
ECU,ROU,0.5
ECU,RUS,0.25
ECU,SLV,1.0
ECU,SRB,0.25
ECU,SVK,0.25
ECU,SVN,0.25
ECU,SWE,0.25
ECU,THA,0.0
ECU,TUN,0.0
ECU,TWN,0.0
ECU,UKR,0.25
ECU,URY,1.0
ECU,USA,0.36250001192092896
ECU,UZB,0.03999999910593033
ECU,VEN,1.0
ECU,ZAF,0.0
ESP,ESP,1.0
ESP,FIN,0.0
ESP,FRA,0.5
ESP,GBR,0.25
ESP,GEO,0.0
ESP,GRC,0.25
ESP,HRV,0.25
ESP,HUN,0.0
ESP,IDN,0.0
ESP,IND,0.0
ESP,ISR,0.032499998807907104
ESP,ITA,0.5
ESP,JAM,0.25
ESP,JPN,0.0
ESP,KAZ,0.10249999910593033
ESP,KOR,0.0
ESP,LBN,0.0
ESP,LTU,0.25
ESP,MAR,0.0
ESP,MCO,0.5
ESP,MDA,0.5
ESP,MEX,1.0
ESP,NLD,0.25
